Reference,VialID,Reef,Site,Date,Bag,Species,Depth (m),Bleach score,Vial,Year,GPS S,GPS E
6,A001-24,Elizabeth,6,9/2/2024,6,Acropora,2.9,5,A001,24,29.93465,159.09326
8,A002-24,Elizabeth,6,9/2/2024,8,Acropora,3.9,5,A002,24,29.93465,159.09326
52,A003-24,Elizabeth,5,11/2/2024,53,Acropora,7.7,5,A003,24,29.91825,159.0603
55,A004-24,Elizabeth,5,11/2/2024,56,Acropora,8.1,6,A004,24,29.91825,159.0603
56,A005-24,Elizabeth,5,11/2/2024,57,Acropora,8.4,6,A005,24,29.91825,159.0603
58,A006-24,Elizabeth,5,11/2/2024,59,Acropora,8.1,6,A006,24,29.91825,159.0603
59,A007-24,Elizabeth,5,11/2/2024,60,Acropora,8.1,6,A007,24,29.91825,159.0603
60,A008-24,Elizabeth,5,11/2/2024,61,Acropora,7.4,5,A008,24,29.91825,159.0603
63,A009-24,Elizabeth,5,11/2/2024,64,Acropora,6.1,5,A009,24,29.91825,159.0603
88,A010-24,Elizabeth,3,11/2/2024,96,Acropora,9,5,A010,24,29.93283,159.02316
86,A011-24,Elizabeth,3,11/2/2024,92,Acropora,9,5,A011,24,29.93283,159.02316
87,A012-24,Elizabeth,3,11/2/2024,93,Acropora,9,5,A012,24,29.93283,159.02316
92,A013-24,Elizabeth,3,11/2/2024,100,Acropora,9,5,A013,24,29.93283,159.02316
95,A014-24,Middleton,3,12/2/2024,3,Acropora,4.2,5,A014,24,29.45993,159.0665
99,A015-24,Middleton,3,12/2/2024,7,Acropora,3.2,3,A015,24,29.45993,159.0665
101,A016-24,Middleton,3,12/2/2024,9,Acropora,3.5,5,A016,24,29.45993,159.0665
104,A017-24,Middleton,3,12/2/2024,12,Acropora,4.5,5,A017,24,29.45993,159.0665
105,A018-24,Middleton,3,12/2/2024,13,Acropora,3.9,5,A018,24,29.45993,159.0665
107,A019-24,Middleton,3,12/2/2024,15,Acropora,3.9,4,A019,24,29.45993,159.0665
110,A020-24,Middleton,3,12/2/2024,18,Acropora,5.8,4,A020,24,29.45993,159.0665
119,A021-24,Middleton,4,12/2/2024,27,Acropora,2.9,3,A021,24,29.4429,159.11502
